PERMNO,date,TICKER,COMNAM,PRC
86868,20160328,GS,GOLDMAN SACHS GROUP INC,153.84
86868,20160329,GS,GOLDMAN SACHS GROUP INC,155.03
86868,20160330,GS,GOLDMAN SACHS GROUP INC,156.5
86868,20160331,GS,GOLDMAN SACHS GROUP INC,156.98
86868,20160401,GS,GOLDMAN SACHS GROUP INC,159.82001
86868,20160404,GS,GOLDMAN SACHS GROUP INC,157.77
86868,20160405,GS,GOLDMAN SACHS GROUP INC,155.35001
86868,20160406,GS,GOLDMAN SACHS GROUP INC,155.19
86868,20160407,GS,GOLDMAN SACHS GROUP INC,150.41
86868,20160408,GS,GOLDMAN SACHS GROUP INC,150.28
86868,20160411,GS,GOLDMAN SACHS GROUP INC,152.2
86868,20160412,GS,GOLDMAN SACHS GROUP INC,154.31
86868,20160413,GS,GOLDMAN SACHS GROUP INC,159.85001
86868,20160414,GS,GOLDMAN SACHS GROUP INC,160.91
86868,20160415,GS,GOLDMAN SACHS GROUP INC,158.52
86868,20160418,GS,GOLDMAN SACHS GROUP INC,159.02
86868,20160419,GS,GOLDMAN SACHS GROUP INC,162.64999
86868,20160420,GS,GOLDMAN SACHS GROUP INC,166.98
86868,20160421,GS,GOLDMAN SACHS GROUP INC,165.32001
86868,20160422,GS,GOLDMAN SACHS GROUP INC,166.75
86868,20160425,GS,GOLDMAN SACHS GROUP INC,165.09
86868,20160426,GS,GOLDMAN SACHS GROUP INC,165.84
86868,20160427,GS,GOLDMAN SACHS GROUP INC,166.92
86868,20160428,GS,GOLDMAN SACHS GROUP INC,164.28999
86868,20160429,GS,GOLDMAN SACHS GROUP INC,164.11
86868,20160502,GS,GOLDMAN SACHS GROUP INC,166.17999
86868,20160503,GS,GOLDMAN SACHS GROUP INC,163.14
86868,20160504,GS,GOLDMAN SACHS GROUP INC,160.07001
86868,20160505,GS,GOLDMAN SACHS GROUP INC,159.53
86868,20160506,GS,GOLDMAN SACHS GROUP INC,158.85001
86868,20160509,GS,GOLDMAN SACHS GROUP INC,157.50999
86868,20160510,GS,GOLDMAN SACHS GROUP INC,161.42
86868,20160511,GS,GOLDMAN SACHS GROUP INC,159.42
86868,20160512,GS,GOLDMAN SACHS GROUP INC,158.07001
86868,20160513,GS,GOLDMAN SACHS GROUP INC,155.34
86868,20160516,GS,GOLDMAN SACHS GROUP INC,155.38
86868,20160517,GS,GOLDMAN SACHS GROUP INC,154.64999
86868,20160518,GS,GOLDMAN SACHS GROUP INC,159.94
86868,20160519,GS,GOLDMAN SACHS GROUP INC,154.7
86868,20160520,GS,GOLDMAN SACHS GROUP INC,154.50999
86868,20160523,GS,GOLDMAN SACHS GROUP INC,155.45
86868,20160524,GS,GOLDMAN SACHS GROUP INC,157.59
86868,20160525,GS,GOLDMAN SACHS GROUP INC,161.25
86868,20160526,GS,GOLDMAN SACHS GROUP INC,159.22
86868,20160527,GS,GOLDMAN SACHS GROUP INC,159.53
86868,20160531,GS,GOLDMAN SACHS GROUP INC,159.48
86868,20160601,GS,GOLDMAN SACHS GROUP INC,159.97
86868,20160602,GS,GOLDMAN SACHS GROUP INC,159.28
86868,20160603,GS,GOLDMAN SACHS GROUP INC,155.67
86868,20160606,GS,GOLDMAN SACHS GROUP INC,157.06
86868,20160607,GS,GOLDMAN SACHS GROUP INC,155.17
86868,20160608,GS,GOLDMAN SACHS GROUP INC,154.64
86868,20160609,GS,GOLDMAN SACHS GROUP INC,153.17
86868,20160610,GS,GOLDMAN SACHS GROUP INC,149.89
86868,20160613,GS,GOLDMAN SACHS GROUP INC,148.63
86868,20160614,GS,GOLDMAN SACHS GROUP INC,146.19
